frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 829	 inval = -2032271360	 outidx = 308	 outval = -60
idx = 831	 inval = -2031943680	 outidx = 309	 outval = -60
idx = 834	 inval = -2031484928	 outidx = 310	 outval = -60
idx = 837	 inval = -2031222784	 outidx = 311	 outval = -60
idx = 839	 inval = -2030960640	 outidx = 312	 outval = -60
idx = 842	 inval = -2030567424	 outidx = 313	 outval = -60
idx = 845	 inval = -2030305280	 outidx = 314	 outval = -60
idx = 847	 inval = -2030043136	 outidx = 315	 outval = -60
idx = 850	 inval = -2029715456	 outidx = 316	 outval = -60
idx = 853	 inval = -2029453312	 outidx = 317	 outval = -60
idx = 858	 inval = -517013504	 outidx = 319	 outval = -15
idx = 861	 inval = -1100152832	 outidx = 320	 outval = -32
idx = 864	 inval = -1659109376	 outidx = 321	 outval = -49
idx = 866	 inval = -1795227648	 outidx = 322	 outval = -53
idx = 869	 inval = -1881145344	 outidx = 323	 outval = -56
idx = 872	 inval = -1968898048	 outidx = 324	 outval = -58
idx = 874	 inval = -1990262784	 outidx = 325	 outval = -59
idx = 877	 inval = -2003632128	 outidx = 326	 outval = -59
idx = 880	 inval = -2017067008	 outidx = 327	 outval = -60
idx = 882	 inval = -2020212736	 outidx = 328	 outval = -60
idx = 888	 inval = -2023882752	 outidx = 330	 outval = -60
idx = 890	 inval = -2024144896	 outidx = 331	 outval = -60
idx = 893	 inval = -2024210432	 outidx = 332	 outval = -60
idx = 896	 inval = -2024144896	 outidx = 333	 outval = -60
idx = 899	 inval = -2023948288	 outidx = 334	 outval = -60
idx = 901	 inval = -2023751680	 outidx = 335	 outval = -60
idx = 904	 inval = -2023292928	 outidx = 336	 outval = -60
idx = 907	 inval = -2023030784	 outidx = 337	 outval = -60
idx = 909	 inval = -2022834176	 outidx = 338	 outval = -60
idx = 912	 inval = -2022375424	 outidx = 339	 outval = -60
idx = 917	 inval = -2021916672	 outidx = 341	 outval = -60
idx = 920	 inval = -2021457920	 outidx = 342	 outval = -60
idx = 923	 inval = -2021261312	 outidx = 343	 outval = -60
idx = 925	 inval = -2021064704	 outidx = 344	 outval = -60
idx = 928	 inval = -2020605952	 outidx = 345	 outval = -60
idx = 931	 inval = -2020343808	 outidx = 346	 outval = -60
idx = 934	 inval = -2019885056	 outidx = 347	 outval = -60
idx = 936	 inval = -2019622912	 outidx = 348	 outval = -60
idx = 939	 inval = -2019295232	 outidx = 349	 outval = -60
idx = 942	 inval = -2018902016	 outidx = 350	 outval = -60
idx = 947	 inval = -2018377728	 outidx = 352	 outval = -60
idx = 950	 inval = -2017918976	 outidx = 353	 outval = -60
idx = 952	 inval = -2017656832	 outidx = 354	 outval = -60
idx = 955	 inval = -2017460224	 outidx = 355	 outval = -60
idx = 958	 inval = -2017067008	 outidx = 356	 outval = -60
idx = 960	 inval = -2016804864	 outidx = 357	 outval = -60
idx = 963	 inval = -2016608256	 outidx = 358	 outval = -60
idx = 966	 inval = -2016083968	 outidx = 359	 outval = -60
idx = 968	 inval = -2015887360	 outidx = 360	 outval = -60
idx = 971	 inval = -2015625216	 outidx = 361	 outval = -60
idx = 977	 inval = -2014904320	 outidx = 363	 outval = -60
idx = 979	 inval = -513605632	 outidx = 364	 outval = -15
idx = 982	 inval = -1432944640	 outidx = 365	 outval = -42
idx = 985	 inval = -1643053056	 outidx = 366	 outval = -48
idx = 987	 inval = -1777860608	 outidx = 367	 outval = -52
idx = 990	 inval = -1917911040	 outidx = 368	 outval = -57
idx = 993	 inval = -1952514048	 outidx = 369	 outval = -58
idx = 995	 inval = -1974337536	 outidx = 370	 outval = -58
idx = 998	 inval = -1996816384	 outidx = 371	 outval = -59
idx = 1001	 inval = -2002255872	 outidx = 372	 outval = -59
idx = 1006	 inval = -2008940544	 outidx = 374	 outval = -59
